description,generic_name,how_to_take,name,side_effects,source,source_url,warnings
"<p>B3-500-Gr is used to lower blood levels of ""bad"" cholesterol (low-density lipoprotein, or LDL) and triglycerides, and increase levels of ""good"" cholesterol (high-density lipoprotein, or HDL).</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/niacin.html"">niacin (nicotinic acid)</a> [ <i>NYE-a-sin</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/b-3-50.html"">B-3-50</a>, <a href=""/mtm/endur-acin.html"">Endur-acin</a>, Flush Free Niacin, <a href=""/mtm/heliocare-advanced.html"">Heliocare Advanced</a>, <a href=""/mtm/niacin-sr.html"">Niacin SR</a>, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 11 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Niacor, Niaspan ER, Niavasc, Slo-Niacin, B3-500-Gr, HDL Benefit
</span><br>
<b>Drug classes:</b> <a href=""/drug-class/miscellaneous-antihyperlipidemic-agents.html"">Miscellaneous antihyperlipidemic agents</a>, <a href=""/drug-class/vitamins.html"">Vitamins</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],B3-500-Gr,"<p>Get emergency medical help if you have <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/b3-500-gr.html,"['<p>You should not take B3-500-Gr if you have severe <a href=""/condition/liver-disease.html"" data-type=""auto"">liver disease</a>, a <a href=""/condition/gastric-ulcer.html"" data-type=""auto"">stomach ulcer</a>, or active bleeding.</p>']"
"<p>C1 esterase inhibitor recombinant is used to treat hereditary angioedema (HAE) in adults and teenagers. HAE is a rare disease that causes swelling of the face, hands, feet, throat, stomach, bowels, or sexual organs. People who have HAE have low levels of C1 esterase inhibitor in their body, and this medicine increases the amount of C1 esterase inhibitor in the body. </p>","<p class=""drug-subtitle"">
<b>Generic name:</b> c1 esterase inhibitor recombinant [ <i>C1 ES-ter-ase-in-HIB-i-ter-ree-KOM-bi-nant</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/hereditary-angioedema-agents.html"">Hereditary angioedema agents</a></p>","['<p>A nurse or other trained health professional will give you this medicine. This medicine is given through a needle placed in one of your veins. The medicine must be injected slowly, so your IV tube will need to stay in place for 5 minutes. </p>']",C1 esterase inhibitor recombinant (Intravenous),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/c1-esterase-inhibitor-recombinant.html,['<p><i>It is very important that your doctor check your progress at regular visits</i>. This will allow your doctor to see if the medicine is working properly and to decide if you should continue to use it. </p>']
"<p>C1 esterase inhibitor is used to treat or prevent hereditary angioedema (HAE). HAE is a rare disease that causes swelling of the face, hands, feet, throat, stomach, bowels, or genitals. People who have HAE have low levels of C1 esterase inhibitor in their body. This medicine helps increase the amount of C1 esterase inhibitors in the body. </p>","<p class=""drug-subtitle"">
<b>Generic name:</b> c1 esterase inhibitor, human [ <i>C1 ES-ter-ase-in-HIB-i-ter, HUE-man</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/hereditary-angioedema-agents.html"">Hereditary angioedema agents</a></p>",['<p>A nurse or other trained health professional will give you or your child this medicine. It is given through a needle placed into one of your veins or as a shot under your skin. </p>'],"C1 esterase inhibitor, human (Intravenous, Subcutaneous)","<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/c1-esterase-inhibitor-human.html,"[""<p><i>It is very important that your doctor check your or your child's progress at regular visits</i> to make sure that the medicine is working properly. Blood tests may be needed to check for unwanted effects. </p>""]"
"<p>Vitamins are compounds that you must have for growth and health. They are needed in only small amounts and are available in the foods that you eat. Vitamin E prevents a chemical reaction called oxidation, which can sometimes result in harmful effects in your body. It is also important for the proper function of nerves and muscles.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/vitamin_e.html"">vitamin e</a> [ <i>VYE-ta-min-E</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/vitamins.html"">Vitamins</a></p>",[],E-600 (Oral),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/e-600.html,[]
"<p>Vitamins are compounds that you must have for growth and health. They are needed in only small amounts and are available in the foods that you eat. Vitamin E prevents a chemical reaction called oxidation, which can sometimes result in harmful effects in your body. It is also important for the proper function of nerves and muscles.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/vitamin_e.html"">vitamin e</a> [ <i>VYE-ta-min-E</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/vitamins.html"">Vitamins</a></p>",[],E-400 (Oral),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/e-400.html,[]
"<p><a href=""/dextromethorphan.html"" data-type=""auto"">Dextromethorphan</a> is a <a href=""/cg/chronic-cough.html"" data-type=""auto"">cough</a> suppressant. <a href=""/guaifenesin.html"" data-type=""auto"">Guaifenesin</a> is an expectorant.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/dextromethorphan-and-guaifenesin.html"">dextromethorphan and guaifenesin</a> [ <i>DEX-troe-me-THOR-fan-and-gwye-FEN-e-sin</i> ]<br>
<b>Brand names:</b> Adult Cough DM, Children Giltuss Cough and Chest Congestion, Children's Delsym Cough+Chest Congest DM, Children's Robitussin Cough and Chest, Children's Robitussin Cough and Chest Congestion DM, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 99 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Coricidin HBP Chest Congestion and Cough, Delsym Cough Plus Chest Congestion DM, Diabetic Tuss DM, Diabetic Tuss DM Maximum Strength, Diabetic Tussin DM, Fenesin DM IR, Geri-Tussin DM, Giltuss Cough and Chest Congestion, Giltuss Diabetic Cough and Cold, Guaiasorb DM, GuaiFENesin DM, G-Zyncof, Kindermed Kids' Cough and Congestion, Max Tussin Cough + Chest Congestion DM, Max Tussin Cough + Chest Congestion DM Sugar Free, Maximum Strength Mucus DM, Mucinex Children's Cough, Mucinex Children's Cough Mini-Melts, Mucinex Children's FreeFrom Cough and Mucus, Mucinex Cough and Chest Congestion, Mucinex DM, Mucinex DM Maximum Strength, Mucinex Fast-Max DM Max, Mucus DM, Mucus Relief DM, Pecgen DMX, Robafen DM Cough and Chest Congestion, Robitussin Cough + Chest Congestion DM, Robitussin Cough + Chest Congestion DM Maximum Strength, Robitussin Max Strength 12 Hour Cough and Mucus Relief, Safetussin DM, Scot-Tussin Senior, Siltussin DM, Siltussin DM DAS Cough Formula, Siltussin-DM DAS-NA, Siltussin-DM DAS-NA Maximum Strength, Trispec DMX, Tusnel Diabetic, Tussin DM, Tussin DM Max, Tussin DM Sugar Free, Zyncof, Adult Cough DM, Aquatab DM, Broncotron, Children Giltuss Cough and Chest Congestion, Children's Delsym Cough+Chest Congest DM, Children's Robitussin Cough and Chest, Children's Robitussin Cough and Chest Congestion DM, Coricidin HBP Chest Congestion and Cough, DayQuil Mucus Control DM, Delsym Cough Plus Chest Congestion DM, Diabetic Tuss DM, Diabetic Tuss DM Maximum Strength, Diabetic Tussin DM, Fenesin DM IR, G-Zyncof, Geri-Tussin DM, Giltuss Cough and Chest Congestion, Giltuss Diabetic Cough and Cold, Guaiasorb DM, GuaiFENesin DM, Kindermed Kids' Cough and Congestion, Max Tussin Cough + Chest Congestion DM, Max Tussin Cough + Chest Congestion DM Sugar Free, Maximum Strength Mucus DM, Mucinex Children's Cough, Mucinex Children's Cough Mini-Melts, Mucinex Children's FreeFrom Cough and Mucus, Mucinex Cough and Chest Congestion, Mucinex DM, Mucinex DM Maximum Strength, Mucinex Fast-Max DM Max, Mucus DM, Mucus Relief DM, Pecgen DMX, Phlemex, Robafen DM Cough and Chest Congestion, Robitussin Cough + Chest Congestion DM, Robitussin Cough + Chest Congestion DM Maximum Strength, Robitussin Max Strength 12 Hour Cough and Mucus Relief, Safetussin DM, Scot-Tussin Senior, Siltussin DM, Siltussin DM DAS Cough Formula, Siltussin-DM DAS-NA, Siltussin-DM DAS-NA Maximum Strength, TabTussin DM, Trispec DMX, Tusnel Diabetic, Tussin DM, Tussin DM Max, Tussin DM Sugar Free, Zyncof
</span><br>
<b>Drug class:</b> <a href=""/drug-class/upper-respiratory-combinations.html"">Upper respiratory combinations</a></p>","['<p>Use exactly as directed on the label, or as prescribed by your doctor. <a href=""/cg/cold-symptoms-aftercare-instructions.html"" data-type=""auto"">Cold</a> or cough medicine is only for short-term use until your symptoms clear up.</p>']",G-Zyncof,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/g-zyncof.html,"['<p>Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as <a href=""/mtm/isocarboxazid.html"" data-type=""auto"">isocarboxazid</a>, <a href=""/mtm/linezolid-oral-injection.html"" data-type=""auto"">linezolid</a>, <a href=""/mtm/methylene-blue-injection.html"" data-type=""auto"">methylene blue</a> injection, <a href=""/mtm/phenelzine.html"" data-type=""auto"">phenelzine</a>, <a href=""/mtm/rasagiline.html"" data-type=""auto"">rasagiline</a>, <a href=""/mtm/selegiline.html"" data-type=""auto"">selegiline</a>, or <a href=""/mtm/tranylcypromine.html"" data-type=""auto"">tranylcypromine</a>.</p>']"
"<p><a href=""/mtm/ascorbic-acid.html"" data-type=""auto"">Ascorbic acid</a> (<a href=""/mtm/vitamin-c.html"" data-type=""auto"">vitamin C</a>) occurs naturally in foods such as citrus fruit, tomatoes, potatoes, and leafy vegetables. Vitamin C is important for bones and connective tissues, muscles, and blood vessels. Vitamin C also helps the body absorb iron, which is needed for red blood cell production.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> ascorbic acid (vitamin C) [ <i>as-KORE-bik-AS-id</i> ]<br>
<b>Brand names:</b> Acerola, <a href=""/mtm/ascorbic-acid-quick-melts.html"">Ascorbic Acid Quick Melts</a>, C-500-Gr, <a href=""/mtm/cemill-1000.html"">Cemill 1000</a>, <a href=""/mtm/c-time.html"">C-Time</a>, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 17 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Easy-C, Ester-C, N Ice with Vitamin C, Vasoflex HD, Vicks Vitamin C Drops, Vitamin C, Vitamin C TR, Vitamin C with Rose Hips, C/Rose Hips, Cecon, Cemill 500, Sunkist Vitamin C
</span><br>
<b>Drug class:</b> <a href=""/drug-class/vitamins.html"">Vitamins</a></p>","['<p>Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.</p>']",C-500-Gr,"<p>Get emergency medical help if you have any of these <b>signs of an allergic reaction:</b> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/c-500-gr.html,"['<p>Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.</p>']"
"<p>Jynneos is used to help prevent <a href=""/cg/smallpox.html"" data-type=""auto"">smallpox</a> and monkeypox diseases.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/smallpox-and-monkeypox-vaccine.html"">smallpox and monkeypox vaccine</a><br>
<b>Drug class:</b> <a href=""/drug-class/viral-vaccines.html"">Viral vaccines</a></p>",['<p><strong>Usual Adult Dose for Prevention of Smallpox and Monkeypox:</strong></p>'],Jynneos,"<p>Get emergency medical help if you have <strong>signs of an allergic reaction to Jynneos:</strong> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/jynneos.html,['<p>Use Jynneos only as directed. Tell your doctor if you use other medicines or have other medical conditions or allergies.</p>']
"<p>Jynarque is used to slow the decline in kidney function in adults who have <a href=""/cg/autosomal-dominant-polycystic-kidney-disease.html"" data-type=""auto"">autosomal dominant polycystic kidney disease</a>.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/tolvaptan.html"">tolvaptan</a> [ <i>tol-VAP-tan</i> ]<br>
<b>Brand names:</b> Jynarque, <a href=""/samsca.html"">Samsca</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],Jynarque,"<p>Get emergency medical help if you have <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/jynarque.html,['<p>You will need frequent medical tests before and during treatment with Jynarque.</p>']
"<p>Lindane , formerly known as gamma benzene hexachloride, is an insecticide and is used to treat scabies and lice infestations.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> lindane (LIN-dane)<br>
<b>Drug class:</b> <a href=""/drug-class/topical-anti-infectives.html"">Topical anti-infectives</a></p>",['<p> Lindane is poisonous. Keep it away from the mouth because it is harmful and may be fatal if swallowed.</p>'],Kwell (Topical),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/kwell.html,['<p>To help prevent reinfestation or spreading of the infestation to other persons:</p>']
